Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
148,Aurora (Northern Athletics),10,6-4,33,29,1,0,4,1,243,24.3
148,Morrisville St. (Empire 8),10,1-9,34,30,0,0,3,0,243,24.3
151,Wilkes (Middle Atlantic),10,3-7,32,24,1,0,8,0,242,24.2
152,Rockford (Northern Athletics),10,1-9,36,22,0,0,1,0,241,24.1
153,Macalester (Midwest Conference),10,7-3,31,26,0,0,9,0,239,23.9
153,Minn.-Morris (UMAC),10,6-4,29,28,1,0,11,1,239,23.9
155,Endicott (CCC Football),10,5-5,34,29,1,0,1,0,238,23.8
156,Buena Vista (IIAC),10,3-7,28,27,0,0,14,0,237,23.7
156,Wis.-Stout (WIAC),10,3-7,27,27,0,0,16,0,237,23.7
158,George Fox (Northwest),9,5-4,27,23,2,0,8,0,213,23.7
159,Springfield (Liberty League),10,5-5,32,29,0,0,4,1,235,23.5
160,Chapman (SCIAC),9,5-4,28,22,0,0,7,0,211,23.4
161,Birmingham-So. (SAA),10,1-9,32,26,2,0,4,0,234,23.4
161,Luther (IIAC),10,3-7,31,25,1,0,7,0,234,23.4
163,Amherst (NESCAC),8,4-4,24,22,0,0,6,0,184,23
163,Westminster (MO) (UMAC),10,4-6,33,24,1,0,2,0,230,23
165,SUNY Maritime (Eastern Collegiate Football Conference),11,6-5,30,28,0,0,14,1,252,22.9
166,Manchester (HCAC),10,2-8,32,23,0,0,4,1,229,22.9
167,Rensselaer (Liberty League),11,6-5,32,32,0,0,9,0,251,22.8
